LLKey,IssueDate,StartDate,EndDate,CertificateNumber,Fee,NPOName,Event,LicenseClass,SubClass,Description,AddrStreet,AddrZip,Location
404678,2012/05/25 04:00:00+00,2012/05/27 04:00:00+00,2012/05/28 04:00:00+00,61385,25,"CARRIBEAN ASSOCIATION OF BALTIMORE, INC.",Memorial Day Celebration,WS,BW,Beer & Wines,4229 YORK ROAD,21212,4229 YORK ROAD 21212
404679,2012/05/29 04:00:00+00,2012/06/03 04:00:00+00,2012/06/04 04:00:00+00,61386,50,"The Children's Home, Inc. ",FUNDRAISER,LS,BWL,"Beer, Wine, & Liquor",1415 KEY HIGHWAY,21201,1415 KEY HIGHWAY 21201
404680,2012/05/30 04:00:00+00,2012/06/01 04:00:00+00,2012/06/02 04:00:00+00,61387,50,Maryland Mobile Food Vendors Association,Fundraiser/ Food Truck Rally,LS,BWL,"Beer, Wine, & Liquor","3355 Keswick Road, Suite 105",21211,"3355 Keswick Road, Suite 105 21211"
404681,2012/05/30 04:00:00+00,2012/07/07 04:00:00+00,2012/07/08 04:00:00+00,61388,25,Tinina Q Cade Foundation,Dancing for the familly,WS,BW,Beer & Wines,1417 Thames Street,21202,1417 Thames Street 21202
404682,2012/05/30 04:00:00+00,2012/06/09 04:00:00+00,2012/06/10 04:00:00+00,61389,25,Pinehurst Wine Shoppe,Wine Tasting,WS,BW,Beer & Wines,6242 Bellona Avenue,21212,6242 Bellona Avenue 21212
404683,2012/05/30 04:00:00+00,2012/06/09 04:00:00+00,2012/06/10 04:00:00+00,61390,50,"Athletes Serving Athletes, Inc.",Music & Arts Festival,LS,BWL,"Beer, Wine, & Liquor",See Permit# CA-20120101-Fort Armistead Park,21226,
404684,2012/05/31 04:00:00+00,2012/06/07 04:00:00+00,2012/06/08 04:00:00+00,61391,50,Homewood Museum of the John Hopkins University,History Program,LS,BWL,"Beer, Wine, & Liquor",3400 N Charles Street (Homewood Museum),21218,3400 N Charles Street (Homewood Museum) 21218
404685,2012/05/31 04:00:00+00,2012/06/07 04:00:00+00,2012/06/11 04:00:00+00,61392,200,ST. CASIMIR CHURCH,Parish Festival,LS,BWL,"Beer, Wine, & Liquor",2736 O'DONNELL STREET-ST. CASMIR'S CATHOLIC CHURCH,21224,2736 O'DONNELL STREET-ST. CASMIR'S CATHOLIC CHURCH 21224
404686,2012/05/31 04:00:00+00,2012/06/07 04:00:00+00,2012/06/11 04:00:00+00,61393,100,ST. CASIMIR CHURCH,Parish Festival,WS,BW,Beer & Wines,2736 O'DONNELL STREET-ST. CASMIR'S CATHOLIC CHURCH,21224,2736 O'DONNELL STREET-ST. CASMIR'S CATHOLIC CHURCH 21224
404687,2012/05/31 04:00:00+00,2012/06/02 04:00:00+00,2012/06/03 04:00:00+00,61394,50,"ARENA PLAYERS, INC.",Fundraiser,LS,BWL,"Beer, Wine, & Liquor",229 W. Franklintown Road,21223,229 W. Franklintown Road 21223
404688,2012/06/01 04:00:00+00,2012/06/08 04:00:00+00,2012/06/09 04:00:00+00,61395,25,Hampden Community Council,Outdoor Concert,WS,BW,Beer & Wines,1221 W 36th Street,21211,1221 W 36th Street 21211
404689,2012/06/01 04:00:00+00,2012/06/15 04:00:00+00,2012/06/16 04:00:00+00,61396,25,Hampden Community Council,Outdoor Concert,WS,BW,Beer & Wines,1221 W 36th Street,21211,1221 W 36th Street 21211
404690,2012/06/01 04:00:00+00,2012/06/22 04:00:00+00,2012/06/23 04:00:00+00,61397,25,Hampden Community Council,Outdoor Concert,WS,BW,Beer & Wines,1221 W 36th Street,21211,1221 W 36th Street 21211
404691,2012/06/01 04:00:00+00,2012/06/29 04:00:00+00,2012/06/30 04:00:00+00,61398,25,Hampden Community Council,Outdoor Concert,WS,BW,Beer & Wines,1221 W 36th Street,21211,1221 W 36th Street 21211
404692,2012/06/01 04:00:00+00,2012/06/02 04:00:00+00,2012/06/03 04:00:00+00,61399,50,"Waterfront Partnership of Baltimore, Inc.",Fashion Show,LS,BWL,"Beer, Wine, & Liquor",800 Blk. Aliceanna Street,21202,800 Blk. Aliceanna Street 21202
404693,2012/06/04 04:00:00+00,2012/06/09 04:00:00+00,2012/06/11 04:00:00+00,61400,100,St Leo's Roman Catholic Church,Street Festival,LS,BWL,"Beer, Wine, & Liquor",see Permit # ROW2012-SE1000527,21202,
404694,2012/06/05 04:00:00+00,2012/06/10 04:00:00+00,2012/06/11 04:00:00+00,61401,50,Maryland Art Place (MAP),Concert (Gavin Pegran),LS,BWL,"Beer, Wine, & Liquor",731 EASTERN AVENUE,21201,731 EASTERN AVENUE 21201
404695,2012/06/05 04:00:00+00,2012/06/24 04:00:00+00,2012/06/25 04:00:00+00,61402,50,Maryland Art Place (MAP),Concert (Gavin Pegran),LS,BWL,"Beer, Wine, & Liquor",731 EASTERN AVENUE,21201,731 EASTERN AVENUE 21201
404696,2012/06/05 04:00:00+00,2012/06/28 04:00:00+00,2012/06/29 04:00:00+00,61403,50,Maryland Art Place (MAP),Concert (Gavin Pegran),LS,BWL,"Beer, Wine, & Liquor",731 EASTERN AVENUE,21201,731 EASTERN AVENUE 21201
404697,2012/06/05 04:00:00+00,2012/06/24 04:00:00+00,2012/06/25 04:00:00+00,61404,50,Maryland Art Place (MAP),Concert (Rain),LS,BWL,"Beer, Wine, & Liquor",731 EASTERN AVENUE,21201,731 EASTERN AVENUE 21201
